peak,gene_symbol,ENSEMBL_ID,score,chromosome,strand,start,end
X3327,MBOAT2,ENSG00000143797,209.075597763062,chr2,-,8952400,8956399
X2815,NA,ENSG00000260805,209.068342685699,chr1,-,212556800,212559599
X28120,CCNYL7,ENSG00000261528,209.007251262665,chr16,+,23482400,23492399
X9040,TRMT44,ENSG00000155275,208.966568470001,chr4,+,8427200,8433199
X5330,RPL19P4,ENSG00000226915,208.961074352264,chr2,+,130300000,130303599
X27528,CELF6,ENSG00000140488,208.944324493408,chr15,-,72342600,72353199
X10615,CAB39P1,ENSG00000251303,208.943003177643,chr5,+,60630600,60637599
X17888,IDNK,ENSG00000148057,208.929728984833,chr9,+,83621000,83631999
X25235,NYNRIN,ENSG00000205978,208.908688545227,chr14,+,24407400,24417599
X22800,NTF3,ENSG00000185652,208.900598049164,chr12,+,5428200,5434999
X8301,TSC22D2,ENSG00000196428,208.891755580902,chr3,+,150408000,150411399
X31225,LOC105372143,ENSG00000267743,208.878071784973,chr18,-,58221000,58229599
X5577,RNA5SP108,ENSG00000271924,208.863485336304,chr2,+,161401600,161404399
X26561,DIO2,ENSG00000211448,208.860467910767,chr14,-,80472200,80481999
X34774,NA,ENSG00000273068,208.816934585571,chr22,+,35132000,35138399
X2712,NA,ENSG00000201944,208.782237052917,chr1,-,205733600,205737999
X19347,CDK1,ENSG00000170312,208.77229309082,chr10,+,60780600,60786599
X5280,MAP3K2-DT,ENSG00000236682,208.725768566132,chr2,+,127401800,127409399
X10350,NA,ENSG00000250234,208.725723743439,chr5,-,34707400,34715599
X2780,RCOR3,ENSG00000117625,208.680147647858,chr1,+,211256800,211261199
X635,MATN1-AS1,ENSG00000186056,208.673009872437,chr1,+,30716400,30722999
X15723,LOC100507156,ENSG00000253837,208.668272972107,chr8,+,23341400,23345199
X9024,TBC1D14,ENSG00000132405,208.661272525787,chr4,+,6907600,6914599
X8628,MIR548AQ,ENSG00000265470,208.629340648651,chr3,-,185764400,185766399
X11850,LINC01845,ENSG00000253298,208.627314090729,chr5,-,159467000,159472999
X28582,NA,ENSG00000260417,208.622631072998,chr16,+,85621400,85629199
X14775,VOPP1,ENSG00000154978,208.543642520905,chr7,-,55473000,55479599
X30102,NA,ENSG00000264630,208.532978534698,chr17,-,66453200,66457599
X21581,GPHA2,ENSG00000149735,208.523547649384,chr11,-,64930800,64938999
X9921,NA,ENSG00000249623,208.448778152466,chr4,-,168630400,168633799
X11903,NA,ENSG00000253357,208.415338516235,chr5,+,167809600,167821199
X32011,PDE4C,ENSG00000105650,208.39305973053,chr19,-,18262800,18272599
X34438,NA,ENSG00000231466,208.37078332901,chr22,-,25343800,25345399
X21060,NA,ENSG00000200685,208.366173744202,chr11,-,13702800,13705999
X13502,HNRNPA1P49,ENSG00000233231,208.347579956055,chr6,+,166332000,166335599
X9263,NA,ENSG00000207195,208.299930095673,chr4,-,40889200,40896199
X31740,TIMM44,ENSG00000104980,208.288817882538,chr19,-,7950400,7958999
X16952,NA,ENSG00000283176,208.279166698456,chr8,+,133500600,133509399
X32820,ZNF671,ENSG00000083814,208.262873649597,chr19,-,57721600,57728399
X34226,NA,ENSG00000273212,208.226331233978,chr22,+,19462600,19469799
X21861,RNF169,ENSG00000166439,208.135601043701,chr11,+,74754200,74756999
X23444,CAPRIN2,ENSG00000110888,208.124751567841,chr12,-,30754000,30757799
X29011,RNASEH1P1,ENSG00000265790,208.109958171844,chr17,-,20907000,20908999
X26630,NA,ENSG00000278576,208.099779129028,chr14,+,88578400,88581999
X16662,NTAQ1,ENSG00000156795,208.072284698486,chr8,+,123432600,123442799
X24828,TRIM13,ENSG00000204977,208.060787677765,chr13,+,49994600,49999999
X6388,NA,ENSG00000222007,208.043445587158,chr2,-,235733800,235742799
X23845,SUOX,ENSG00000139531,207.984634399414,chr12,+,56000200,56009399
X20563,NA,ENSG00000255624,207.949025630951,chr10,+,122882200,122887199
X27007,MGA,ENSG00000174197,207.91727399826,chr15,+,41627600,41632799
X13803,CYP3A54P,ENSG00000261809,207.875794887543,chr7,-,4129600,4133399
X6021,MYOSLID,ENSG00000229647,207.855513572693,chr2,+,207244400,207248199
X20077,CUTC,ENSG00000119929,207.841486930847,chr10,+,99716000,99722599
X21364,MADD,ENSG00000110514,207.823877334595,chr11,+,47266000,47273599
X18414,ENDOG,ENSG00000167136,207.759659767151,chr9,+,128804200,128810399
X24458,DENR,ENSG00000139726,207.663120746613,chr12,+,122759600,122767999
X18046,NA,ENSG00000237631,207.655838489532,chr9,+,95932400,95936799
X31259,ZNF532,ENSG00000074657,207.650903224945,chr18,+,58869600,58873399
X7571,ALCAM,ENSG00000170017,207.617389678955,chr3,+,105400000,105409799
X23612,SCAF11,ENSG00000139218,207.609494686127,chr12,-,45954000,45958399
X33268,NA,ENSG00000278035,207.581394672394,chr20,+,36227000,36236999
X34726,FBXO7,ENSG00000100225,207.541048526764,chr22,+,32472400,32479399
X13625,MICALL2,ENSG00000164877,207.538995742798,chr7,-,1369800,1384199
X22915,SLC2A3,ENSG00000059804,207.531209468842,chr12,-,7920200,7924399
X7721,RN7SL815P,ENSG00000243359,207.527623653412,chr3,+,115783000,115785399
X2689,NA,ENSG00000236108,207.504643440247,chr1,+,205145800,205153799
X8881,GAK,ENSG00000178950,207.480199337006,chr4,-,901000,911999
X10483,NA,ENSG00000250711,207.466187000275,chr5,+,42949000,42953999
X23510,DNM1L,ENSG00000087470,207.441205501556,chr12,+,32610800,32619199
X30474,NA,ENSG00000262172,207.431665897369,chr17,-,80002400,80010199
X33960,NA,ENSG00000227256,207.369386672974,chr21,+,32277000,32284399
X35366,INE1,ENSG00000224975,207.364388942719,chrX,+,47198400,47206599
X984,CCDC24,ENSG00000159214,207.343418121338,chr1,+,44008200,44015199
X18970,NA,ENSG00000254635,207.323782920837,chr10,-,28584000,28593399
X22115,NA,ENSG00000277459,207.313807487488,chr11,-,102109800,102113199
X30113,NA,ENSG00000229330,207.305957317352,chr17,+,66664400,66671599
X8231,NA,ENSG00000249290,207.229519844055,chr3,-,140287400,140293199
X2642,OPTC,ENSG00000188770,207.145171165466,chr1,+,203500600,203509399
X7304,TLR9,ENSG00000239732,207.136527061462,chr3,-,52226800,52233799
X27504,NA,ENSG00000259532,207.125374317169,chr15,+,70748200,70754399
X26111,NA,ENSG00000259038,207.124865055084,chr14,-,68552600,68564399
X31540,MOB3A,ENSG00000172081,207.122490406036,chr19,-,2126600,2131199
X12995,RPSAP43,ENSG00000216471,207.10856962204,chr6,-,114058800,114065799
X2985,PARP1,ENSG00000143799,207.107165336609,chr1,-,226379000,226386799
X7469,RNU6-26P,ENSG00000206712,207.102468490601,chr3,-,98804400,98807799
X5224,LINC01823,ENSG00000224655,207.101979255676,chr2,+,121946800,121954599
X30680,NA,ENSG00000272461,207.068368434906,chr18,-,1005400,1014999
X23229,RN7SL67P,ENSG00000243854,207.065289974213,chr12,+,19290800,19293599
X34400,ADORA2A,ENSG00000128271,207.047385692596,chr22,+,24443800,24450799
X10539,NDUFS4,ENSG00000164258,207.043551445007,chr5,+,53670600,53677999
X17820,FXN,ENSG00000165060,207.026209354401,chr9,+,69066400,69075599
X21179,TCP11L1,ENSG00000176148,207.015592575073,chr11,+,33036800,33041799
X13067,SMLR1,ENSG00000256162,206.996029376984,chr6,+,130835400,130839799
X12469,SRSF3,ENSG00000112081,206.984211444855,chr6,+,36592600,36599799
X34418,NA,ENSG00000279085,206.983852863312,chr22,-,25000800,25008999
X12703,TRAM2,ENSG00000065308,206.949243545532,chr6,-,52515000,52522999
X25668,GPR135,ENSG00000181619,206.944947242737,chr14,-,59380000,59390199
X7954,NA,ENSG00000229048,206.845762252808,chr3,+,125288200,125294799
X28754,NA,ENSG00000267129,206.842348575592,chr17,-,3368800,3371399
X23248,NA,ENSG00000240328,206.819621086121,chr12,+,19531000,19536799
X30294,JPT1,ENSG00000189159,206.798983097076,chr17,-,75171600,75175999
X6943,RNU6-1301P,ENSG00000199594,206.791397571564,chr3,+,37139000,37144599
X9195,TLR6,ENSG00000174130,206.731666564941,chr4,-,38832000,38833999
X16104,RN7SL760P,ENSG00000272469,206.671733856201,chr8,-,73840400,73845999
X488,SRRM1,ENSG00000133226,206.61728477478,chr1,+,24638800,24644799
X4663,NA,ENSG00000246575,206.519127845764,chr2,+,85312800,85318599
X20481,NA,ENSG00000236426,206.513108253479,chr10,-,119339000,119351999
X13391,SYNJ2-IT1,ENSG00000233496,206.509141921997,chr6,+,158022200,158032799
X7981,NA,ENSG00000279328,206.473616600037,chr3,-,126446800,126454799
X4427,NA,ENSG00000252250,206.467618942261,chr2,+,69340400,69344999
X34514,NA,ENSG00000226912,206.46366071701,chr22,-,26645200,26652999
X29702,NA,ENSG00000279555,206.461463451385,chr17,+,57309600,57315999
X4103,NA,LRG_218,206.432173252106,chr2,+,47449800,47454799
X12208,NA,ENSG00000272277,206.401735782623,chr6,-,3076200,3083399
X21691,CHKA-DT,ENSG00000255236,206.339858531952,chr11,+,68160200,68165799
X29622,PICART1,ENSG00000246640,206.332733631134,chr17,-,50043200,50049799
X7692,ZBTB20-AS1,ENSG00000241560,206.317842483521,chr3,+,114368600,114374799
X23648,TMEM106C,ENSG00000134291,206.272412776947,chr12,+,47964200,47973799
X10784,MIR4803,ENSG00000264099,206.249331474304,chr5,+,72181800,72190599
X17932,S1PR3;C9orf47,ENSG00000213694,206.242801189423,chr9,+,88993000,89003599
X16651,RNU6-875P,ENSG00000252297,206.22280216217,chr8,+,123328200,123333599
X21095,KCNC1,ENSG00000129159,206.185047626495,chr11,+,17731800,17743399
X26454,JDP2,ENSG00000140044,206.179003715515,chr14,+,75424800,75430199
X32882,TMEM74B,ENSG00000125895,206.175524711609,chr20,-,1177200,1183799
X25726,NA,ENSG00000258485,206.128612041473,chr14,-,60914600,60921199
X18511,RAPGEF1,ENSG00000107263,206.116065502167,chr9,-,131732800,131737599
X30694,NA,ENSG00000266251,206.000730991364,chr18,-,1240000,1250399
X16325,NA,ENSG00000237704,205.988340854645,chr8,-,99288600,99293199
X29795,SMG8,ENSG00000167447,205.959111213684,chr17,+,59207000,59214999
X1993,RN7SL444P,ENSG00000265753,205.957223892212,chr1,-,151312600,151318199
X14305,NA,ENSG00000231519,205.870893478394,chr7,-,30084200,30093399
X1716,NA,ENSG00000231346,205.863272666931,chr1,-,111616000,111621999
X13528,SMOC2,ENSG00000112562,205.840284347534,chr6,+,168451200,168460399
X20741,NA,ENSG00000277959,205.835102081299,chr10,+,131953600,131958799
X35303,SMS,ENSG00000102172,205.829708099365,chrX,+,21940200,21947199
X10014,CDKN2AIP,ENSG00000168564,205.789839267731,chr4,+,183439200,183445999
X17586,ACO1,ENSG00000122729,205.758387565613,chr9,+,32430600,32438199
X29735,RN7SL449P,ENSG00000242889,205.747466087341,chr17,+,57649400,57657799
X15945,NA,ENSG00000279881,205.696566581726,chr8,-,48417000,48421399
X5662,MAP3K20,ENSG00000091436,205.639365673065,chr2,+,173139800,173145399
X6951,ITGA9-AS1,ENSG00000235257,205.560294628143,chr3,-,37857800,37863199
X23616,NA,ENSG00000274591,205.559910774231,chr12,-,46194600,46200599
X18936,NA,ENSG00000279029,205.501994609833,chr10,-,24538000,24545199
X26168,PLEKHD1,ENSG00000175985,205.378044605255,chr14,+,69464200,69478199
X6074,LINC01963,ENSG00000260804,205.290620326996,chr2,+,216218200,216223399
X33659,RAB22A,ENSG00000124209,205.256516456604,chr20,+,58330800,58335199
X3929,MAP4K3-DT,ENSG00000231312,205.246367931366,chr2,+,39380600,39384799
X13543,NA,ENSG00000240093,205.243618011475,chr7,-,207400,213599
X17398,NA,ENSG00000225472,205.229755401611,chr9,+,14268200,14270399
X8170,HMGN1P10,ENSG00000244101,205.22100687027,chr3,+,136522200,136528799
X11164,NA,ENSG00000271797,205.188400268555,chr5,+,115237200,115244599
X6092,NA,ENSG00000259855,205.176741600037,chr2,+,217105600,217107199
X21702,NDUFA3P2,ENSG00000254856,205.176680088043,chr11,-,68528600,68534199
X24699,SLC7A1,ENSG00000139514,205.171180725098,chr13,-,29576400,29584399
X24208,RN7SL769P,ENSG00000276956,205.152791023254,chr12,-,110333800,110339399
X29648,ANKRD40,ENSG00000154945,205.136996269226,chr17,-,50713200,50720599
X23663,KANSL2,ENSG00000139620,205.126046180725,chr12,-,48684000,48687599
X32092,LOC100420587,ENSG00000283403,205.111213684082,chr19,-,28711000,28717399
X20992,MIR6124,ENSG00000275373,205.101566314697,chr11,+,12182400,12187799
X19165,NA,ENSG00000233832,205.099480628967,chr10,+,38820800,38836799
X29967,NA,ENSG00000264513,205.096767425537,chr17,-,63156200,63169599
X3079,NA,ENSG00000227006,205.072737216949,chr1,-,230261400,230268799
X16821,RNU7-181P,ENSG00000253043,205.045204639435,chr8,-,129986000,129990399
X21112,NA,ENSG00000256006,204.997052669525,chr11,+,18405200,18409399
X22851,PLEKHG6,ENSG00000008323,204.94974899292,chr12,+,6292400,6299799
X5899,SPATS2L,ENSG00000196141,204.890178203583,chr2,+,200311800,200317599
X8207,MRAS,ENSG00000158186,204.860023975372,chr3,+,138355000,138368399
X8260,ATR,ENSG00000175054,204.851935863495,chr3,-,142542800,142544599
X21221,CD44,ENSG00000026508,204.736572265625,chr11,+,35164200,35170799
X21381,FAM180B,ENSG00000196666,204.735500812531,chr11,+,47583400,47591599
X14508,NA,ENSG00000273444,204.7200050354,chr7,+,40067000,40071399
X16359,NA,ENSG00000260368,204.699986934662,chr8,-,100913400,100918599
X10856,NA,ENSG00000250615,204.694619178772,chr5,+,77076600,77078599
X34163,DIP2A-IT1,ENSG00000223692,204.662534713745,chr21,+,46467800,46474999
X13688,AMZ1,ENSG00000174945,204.651488304138,chr7,+,2685800,2692999
X31891,MRI1,ENSG00000037757,204.646175861359,chr19,+,13761600,13767599
X19019,NA,ENSG00000223834,204.553425788879,chr10,+,31526400,31531399
X23594,LOC100128248,ENSG00000257368,204.515450000763,chr12,+,45368200,45370999
X14776,VOPP1,ENSG00000154978,204.513323307037,chr7,-,55482600,55486799
X15929,NA,ENSG00000207450,204.488357543945,chr8,-,47831000,47834399
X1160,COA7,ENSG00000162377,204.468336582184,chr1,-,52684000,52688999
X23262,SLCO1C1,ENSG00000139155,204.355836391449,chr12,+,20749600,20756799
X16836,ASAP1-IT2,ENSG00000280543,204.335287570953,chr8,-,130118600,130124199
X9476,NA,ENSG00000250656,204.326984882355,chr4,-,67710800,67718399
X14565,LUARIS,ENSG00000231638,204.314571380615,chr7,-,43516200,43524799
X30049,AMZ2P1,ENSG00000214174,204.215302944183,chr17,-,64974600,64978399
X7201,NCKIPSD,ENSG00000213672,204.201103687286,chr3,-,48708800,48715599
X9048,NA,ENSG00000205940,204.154801368713,chr4,+,13361400,13367999
X7172,VPS26BP1,ENSG00000224895,204.136120319366,chr3,-,47952600,47959199
X2124,PMF1-BGLAP,ENSG00000260238,204.111497879028,chr1,+,156206800,156214199
X31742,NA,ENSG00000269813,204.033099651337,chr19,+,7967200,7973599
X1124,NA,ENSG00000237130,204.000832557678,chr1,+,50891000,50896599
X12032,NA,ENSG00000253683,203.996081829071,chr5,-,172653000,172656999
X27809,PDIA2,ENSG00000185615,203.993811130524,chr16,+,287200,295599
X14535,NA,ENSG00000213721,203.978258132935,chr7,+,42134800,42141599
X23655,NA,ENSG00000269514,203.934671878815,chr12,+,48198600,48204199
X17903,GOLM1,ENSG00000135052,203.879866600037,chr9,-,86027800,86036999
X11005,NA,ENSG00000249180,203.859824180603,chr5,-,96732800,96736399
X20067,GOT1,ENSG00000120053,203.829597949982,chr10,-,99400800,99409599
X21027,TEAD1,ENSG00000187079,203.80961561203,chr11,+,12745200,12750199
X33545,KRT18P4,ENSG00000229222,203.758225440979,chr20,+,49955000,49959399
X27440,NA,ENSG00000259202,203.753469944,chr15,-,67115000,67122999
X4395,NA,ENSG00000273275,203.74143409729,chr2,+,68200600,68208399
X31417,NA,ENSG00000266901,203.726674079895,chr18,-,79727600,79733399
X18040,ERCC6L2,ENSG00000182150,203.703943252563,chr9,+,95874000,95878399
X31018,ZNF397,ENSG00000186812,203.688632965088,chr18,+,35241000,35245999
X15089,GATAD1,ENSG00000157259,203.686112880707,chr7,+,92450800,92457799
X30158,NA,ENSG00000279573,203.672114372253,chr17,+,67955600,67959799
X7511,TMEM30CP,ENSG00000235156,203.625039100647,chr3,+,100177600,100181999
X5703,NA,ENSG00000277948,203.619054794312,chr2,-,175123800,175129599
X29957,TANC2,ENSG00000170921,203.5686378479,chr17,+,63020800,63030199
X11771,GALNT10,ENSG00000164574,203.552222728729,chr5,+,154205200,154211799
X4634,EVA1A-AS,ENSG00000231172,203.537089347839,chr2,+,75539800,75543999
X23422,NA,ENSG00000244712,203.503656387329,chr12,-,28575000,28578599
X11510,HSPA9,ENSG00000113013,203.500356674194,chr5,-,138569600,138573999
X18934,NA,ENSG00000279029,203.357203483582,chr10,-,24518600,24526199
X23293,NA,ENSG00000256615,203.354976654053,chr12,+,21633800,21639399
X35322,NA,ENSG00000223486,203.354071140289,chrX,+,40061600,40072199
X13708,RN7SKP130,ENSG00000201794,203.306825637817,chr7,+,2989800,3002599
X2411,NA,ENSG00000213058,203.303144931793,chr1,+,178444600,178448799
X10525,NA,ENSG00000248898,203.248779773712,chr5,-,52796000,52802199
X35110,NA,ENSG00000235091,203.234936237335,chr22,-,45916600,45928799
X16365,NA,ENSG00000253395,203.206963062286,chr8,-,101114000,101123999
X13044,HDDC2,ENSG00000111906,203.149456977844,chr6,-,125295600,125301399
X3766,LCLAT1,ENSG00000172954,203.050141334534,chr2,+,30446400,30448199
X13576,PRKAR1B,ENSG00000188191,203.014666557312,chr7,-,756600,763199
X27130,NA,ENSG00000259327,202.995933532715,chr15,+,52116000,52118399
X4930,NA,ENSG00000235522,202.989470481873,chr2,-,105835600,105843399
X33256,RBM39,ENSG00000131051,202.97910785675,chr20,-,35723800,35730399
X16033,ARMC1,ENSG00000104442,202.975510597229,chr8,-,65617600,65622199
X4889,NA,ENSG00000281162,202.942157745361,chr2,+,101841000,101845199
X28451,NA,ENSG00000279412,202.878660678864,chr16,+,70703000,70711199
X24847,INTS6-AS1,ENSG00000236778,202.864030361176,chr13,+,51451200,51455599
X21727,NA,ENSG00000260877,202.842535972595,chr11,+,69356000,69363599
X16539,NA,LRG_493,202.840677261353,chr8,-,118066200,118072399
X13937,FAM220A,ENSG00000178397,202.815190792084,chr7,-,6332200,6340599
X19200,RNU6-885P,ENSG00000252416,202.812133789062,chr10,-,42829000,42831399
X17255,RN7SL395P,ENSG00000244307,202.787754535675,chr8,+,144774600,144780999
X11450,NA,ENSG00000270892,202.768445014954,chr5,-,134863600,134868199
X16499,RAD21-AS1,ENSG00000253327,202.758312702179,chr8,+,116873000,116875199
X4823,INPP4A,ENSG00000040933,202.749770641327,chr2,+,98486200,98495599
X9521,CDKL2,ENSG00000138769,202.660421848297,chr4,-,75644000,75647199
X18582,VAV2,ENSG00000160293,202.641108989716,chr9,-,133872800,133883599
X8379,SCHIP1,ENSG00000151967,202.632565498352,chr3,+,159874800,159884999
X18946,NA,ENSG00000235843,202.608843803406,chr10,+,26719600,26724199
X25449,PYGL,ENSG00000100504,202.581881999969,chr14,-,50950800,50957399
X29380,NA,ENSG00000267658,202.498783111572,chr17,+,42140800,42149199
X9759,ANXA5,ENSG00000164111,202.492335319519,chr4,-,121677600,121685399
X3179,NA,ENSG00000273058,202.460547924042,chr1,-,236542000,236544399
X18273,PTGS1,ENSG00000095303,202.426707744598,chr9,+,122328400,122333599
X16827,NA,ENSG00000200304,202.404562950134,chr8,-,130050200,130052199
X174,CTNNBIP1,ENSG00000178585,202.367278575897,chr1,-,9907000,9912999
X13677,GRIFIN,ENSG00000275572,202.362564086914,chr7,-,2456000,2465199
X35222,SBF1,ENSG00000100241,202.337238788605,chr22,-,50414800,50425399
X17729,CLTA,ENSG00000122705,202.295543670654,chr9,+,36229000,36232999
X6677,NA,ENSG00000231362,202.283474445343,chr3,-,12990200,12995799
X21526,NA,ENSG00000269463,202.220658302307,chr11,-,62810600,62817999
X2930,CNIH3-AS2,ENSG00000233384,202.21185874939,chr1,-,224613800,224618799
X15493,MKLN1,ENSG00000128585,202.190408229828,chr7,+,131105600,131111599
X12484,PIM1,ENSG00000137193,202.18473815918,chr6,+,37133400,37135399
X34780,NA,ENSG00000243453,202.146680355072,chr22,-,35190400,35195999
X23914,NA,ENSG00000270039,202.145991325378,chr12,+,57798400,57808199
X18281,ZBTB6,ENSG00000186130,202.123348236084,chr9,-,122911600,122916799
X18189,C9orf152,ENSG00000188959,202.076258182526,chr9,-,110164600,110171399
X8945,TNIP2,ENSG00000168884,202.063175201416,chr4,-,2692800,2698399
X34197,NA,ENSG00000093100,202.036161899567,chr22,-,17877600,17884599
X20725,GLRX3,ENSG00000108010,202.010592460632,chr10,+,130207800,130215199
X26861,SNORD116-4,ENSG00000275529,201.989967346191,chr15,+,25059200,25069799
X26288,RN7SL683P,ENSG00000242330,201.914896965027,chr14,+,71583000,71589799
X34594,NA,ENSG00000274342,201.910267829895,chr22,+,27989400,27995199
X20984,MICAL2,ENSG00000133816,201.844674110413,chr11,+,12108200,12113599
X4277,MIR5192,ENSG00000266097,201.826778888702,chr2,+,62206400,62217999
X17962,CENPP,ENSG00000188312,201.82050037384,chr9,+,92313400,92322199
X10773,NA,ENSG00000280187,201.803107738495,chr5,-,69186600,69190199
X18031,FANCC,ENSG00000158169,201.792133331299,chr9,-,95443800,95451999
X23639,NA,ENSG00000276390,201.69321346283,chr12,-,47653800,47657999
X16486,UTP23,ENSG00000147679,201.682569026947,chr8,+,116621400,116627799
X30244,CDC42EP4,ENSG00000179604,201.650157928467,chr17,-,73338200,73345399
X9873,FBXW7,ENSG00000109670,201.601637363434,chr4,-,152533800,152537799
X33643,RAE1,ENSG00000101146,201.582333564758,chr20,+,57351800,57359399
X16374,NA,LRG_788,201.551019668579,chr8,-,102233800,102242799
X16374,RRM2B,ENSG00000048392,201.551019668579,chr8,-,102233800,102242799
X26563,DIO2,ENSG00000211448,201.550929546356,chr14,-,80513000,80518199
X3297,NA,ENSG00000242540,201.540923595428,chr2,+,5704800,5708199
X7806,LOC442087,ENSG00000240882,201.519063949585,chr3,+,120310800,120314599
X30997,NA,ENSG00000266521,201.50389957428,chr18,-,31496000,31498799
X17384,NA,ENSG00000234740,201.484623432159,chr9,-,13274800,13279999
X21652,RBM4B,ENSG00000173914,201.45460367202799,chr11,-,66682400,66687599
X9302,NA,ENSG00000272936,201.450497627258,chr4,+,44702800,44704599
X17192,LY6K,ENSG00000160886,201.374157428741,chr8,+,142694800,142704599
X7829,RPL7AP11,ENSG00000242445,201.370447635651,chr3,+,121428200,121434999
X31523,NA,ENSG00000261526,201.33531665802,chr19,-,1880000,1885799
X19882,IDE,ENSG00000119912,201.329497814178,chr10,-,92572600,92575999
X3269,MIR3124,ENSG00000264500,201.267053604126,chr1,+,248809400,248814199
X5908,RNY4P34,ENSG00000201649,201.206251144409,chr2,+,200427600,200430999
X13312,RNU6-824P,ENSG00000200594,201.201839447021,chr6,-,154812400,154817399
X1795,LOC100421116,ENSG00000271419,201.18329334259,chr1,+,114401400,114407399
X31191,SNORA37,ENSG00000207233,201.10697889328,chr18,-,54196600,54201599
X20291,SMNDC1,ENSG00000119953,201.093317985535,chr10,-,110285000,110293799
X24833,NA,ENSG00000275559,201.071918487549,chr13,+,50080400,50083799
X31284,NA,ENSG00000267061,201.063517570496,chr18,+,59605600,59609799
X1277,GADD45A,ENSG00000116717,201.059374332428,chr1,+,67710400,67719199
X8074,NA,ENSG00000248659,201.022379398346,chr3,-,129713400,129718399
X14209,NA,ENSG00000270182,201.013925075531,chr7,+,27162400,27170799
X9194,TLR6,ENSG00000174130,200.985481739044,chr4,-,38823000,38827399
X18179,NA,ENSG00000241978,200.973062515259,chr9,+,110062000,110065799
X26941,NA,ENSG00000259288,200.952590465546,chr15,+,40196000,40200599
X34362,NA,ENSG00000278655,200.939082622528,chr22,+,23603000,23610999
X2240,RGS5,ENSG00000232995,200.932107448578,chr1,-,163342600,163346999
X11551,CXXC5-AS1,ENSG00000250635,200.930490970612,chr5,-,139656000,139668199
X1515,NA,ENSG00000224093,200.917062759399,chr1,+,93565200,93570199
X30124,MIR634,ENSG00000207943,200.875084877014,chr17,+,66791800,66798399
X17374,LURAP1L,ENSG00000153714,200.829901218414,chr9,+,12775200,12777999
X16954,NA,ENSG00000283197,200.754382133484,chr8,+,133516400,133524399
X14995,PTPN12,ENSG00000127947,200.742053031921,chr7,+,77546400,77551799
X3152,NA,ENSG00000280587,200.738901615143,chr1,-,235067200,235071599
X6811,NA,ENSG00000231395,200.722850322723,chr3,-,23882000,23888799
X33550,UBE2V1,ENSG00000244687,200.722350597382,chr20,-,50110800,50114399
X35301,NA,ENSG00000237836,200.713262557983,chrX,+,18885200,18893999
X3211,PLD5,ENSG00000180287,200.68123626709,chr1,-,242517400,242525599
X16491,UTP23,ENSG00000147679,200.670551776886,chr8,+,116693800,116699199
X23479,NA,ENSG00000276058,200.638434886932,chr12,-,31716200,31720199
X35108,NA,ENSG00000279954,200.611257553101,chr22,+,45854400,45864599
X31086,EPG5,ENSG00000152223,200.609239578247,chr18,-,45904600,45907399
X1021,PTCH2,ENSG00000117425,200.598431110382,chr1,-,44839600,44853599
X24310,NA,ENSG00000258346,200.586819171906,chr12,+,116386400,116391399
X21109,NA,LRG_586,200.572148799896,chr11,-,18321200,18324999
X9952,RNU6-853P,ENSG00000201176,200.551142692566,chr4,+,168934000,168936999
X8766,XXYLT1,ENSG00000173950,200.540588378906,chr3,-,195257000,195261599
X17730,RNU4-53P,ENSG00000222760,200.533697128296,chr9,+,36237200,36245599
X15915,NA,ENSG00000253330,200.51086473465,chr8,-,47396600,47401199
X33440,PCIF1,ENSG00000100982,200.505455970764,chr20,+,45928600,45935999
X23684,NA,ENSG00000257464,200.496060371399,chr12,-,49434200,49435599
X13777,NA,ENSG00000236510,200.453067302704,chr7,-,3779200,3786799
X8711,FGF12,ENSG00000114279,200.42752456665,chr3,-,192803600,192811599
X4070,NA,ENSG00000279254,200.418997764587,chr2,+,46651800,46656599
X14822,GUSB,ENSG00000169919,200.417596340179,chr7,-,65965400,65978599
X20225,NA,ENSG00000273108,200.414130687714,chr10,+,103616200,103623999
X7784,NA,ENSG00000240471,200.367943286896,chr3,+,119824600,119826799
X29532,RPS2P47,ENSG00000239291,200.317173480988,chr17,-,47137800,47143799
X1636,NA,ENSG00000228076,200.250835895538,chr1,-,108768200,108772999
X31588,CELF5,ENSG00000161082,200.233417510986,chr19,+,3218400,3234399
X27996,NA,ENSG00000260289,200.223560333252,chr16,-,8063800,8068599
X19504,NA,ENSG00000230661,200.215885639191,chr10,-,70510000,70518399
X29800,NA,ENSG00000278863,200.130132198334,chr17,+,59363600,59370999
X3785,NA,ENSG00000234579,200.062790393829,chr2,+,30972200,30982399
X27929,ZSCAN32,ENSG00000140987,200.062005519867,chr16,-,3387000,3390999
X7026,NA,ENSG00000232354,200.058789253235,chr3,-,42547400,42551799
X24621,NA,ENSG00000283396,200.033504009247,chr12,-,132818200,132823599
X25023,COL4A2-AS2,ENSG00000224821,200.021544456482,chr13,-,110475600,110480999
X13076,SMLR1,ENSG00000256162,200.005514621735,chr6,+,130919000,130925199
X7738,RN7SL815P,ENSG00000243359,199.97939157486,chr3,+,115945000,115950599
X4760,NA,ENSG00000235129,199.830047607422,chr2,-,95379200,95385799
X3320,KIDINS220,ENSG00000134313,199.794246196747,chr2,-,8864400,8869999
X7863,DTX3L,ENSG00000163840,199.785823345184,chr3,+,122560800,122570399
X29263,NA,ENSG00000267648,199.745601654053,chr17,-,35407000,35411799
X33731,NA,ENSG00000167046,199.7345495224,chr20,-,62643000,62650399
